"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36029","Erie County, New York","133807","4451","129035","4549","444","278","468","329","1278","521","5147","1218","1936","671","1815","609","2773","905","3019","872","3784","953","5383","1314","6796","1153","10682","1770","9293","1554","8755","1536","10853","1544","16950","2230","14203","1730","16723","2368","4561","1061","2270","767","986","511","580","422","210","218","126","162","4772","897"
"0500000US36045","Jefferson County, New York","17227","1588","16410","1627","18","31","61","61","250","193","515","420","208","129","162","137","242","176","454","296","263","180","746","505","392","210","555","310","729","391","860","501","569","349","1703","559","1135","517","2574","583","2475","739","2118","681","249","124","124","160","8","16","0","192","817","340"
"0500000US36047","Kings County, New York","664125","6979","646168","6871","1369","607","1250","540","3281","1013","17665","2053","9948","1786","9931","1600","9263","1209","9322","1597","6539","1212","9991","1693","6399","1232","8871","1735","7107","1180","10127","1625","9484","1704","27128","2652","28413","2712","106549","5099","109258","4612","141717","5093","56856","3609","27265","2188","17424","2000","11011","1427","17957","1784"
"0500000US36051","Livingston County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36053","Madison County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36055","Monroe County, New York","110955","3639","108329","3565","136","140","110","182","275","213","2837","1034","1586","673","1544","669","2004","792","2058","726","2225","762","3632","943","3251","797","4146","899","6114","1256","7806","1402","7065","1421","16760","1908","14189","1869","18664","2515","6424","1350","4796","1186","1480","532","357","291","555","481","315","226","2626","794"
"0500000US36059","Nassau County, New York","86139","4584","81051","4329","166","215","0","192","319","288","1207","471","842","390","362","205","979","615","882","461","792","466","548","403","1033","520","985","509","602","329","1028","566","904","494","1437","621","1890","699","9071","1676","11633","1744","21836","2401","11923","1776","6526","1565","4251","1218","1835","800","5088","1153"
"0500000US36061","New York County, New York","575969","10368","563369","10331","857","524","1687","774","3040","963","13002","2322","11374","1855","9423","1903","10947","2218","7155","1689","8333","1914","6910","1586","6907","1734","7516","1736","9029","1975","7497","1618","9862","1960","24081","3017","27515","3021","48103","3685","42468","3487","80448","5725","71097","5408","54063","4407","48624","4215","53431","4623","12600","2806"
"0500000US36063","Niagara County, New York","25347","1886","24477","1860","274","443","0","192","390","428","821","340","900","450","959","519","811","466","822","414","1418","574","1693","748","1382","511","2352","847","1853","622","1711","724","2136","738","2740","801","1645","613","995","406","471","388","860","471","136","142","108","181","0","192","0","192","870","422"
"0500000US36065","Oneida County, New York","26712","2036","25283","1957","88","104","0","192","411","282","647","394","849","464","538","334","662","461","859","387","1249","641","1195","395","1940","745","1855","573","1993","643","2303","921","1999","759","2744","757","1485","680","2861","796","953","460","339","289","192","235","47","81","74","97","0","192","1429","558"
