,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
62,4565,05/20/2017 13:07:35.091877 MDT,ALTAMONT,12009,ALBANY,Albany,BH-1800,B,BH,42.698692,-74.03148
63,4653,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,DD-1500.9650,D,DD,42.698692,-74.03148
64,4654,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,DD-1500.9650,D,DD,42.698692,-74.03148
65,4655,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,DD-1500.9650,D,DD,42.698692,-74.03148
66,4656,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9300-180,B,BV,42.698692,-74.03148
67,4657,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9300-180,B,BV,42.698692,-74.03148
68,4658,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9300-180,B,BV,42.698692,-74.03148
69,4659,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9120,B,BV,42.698692,-74.03148
70,4660,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9120,B,BV,42.698692,-74.03148
71,4661,05/26/2017 09:25:54.046876 MDT,ALTAMONT,12009,ALBANY,Albany,BV-8900.9120,B,BV,42.698692,-74.03148
72,4698,03/29/2017 11:02:57.283566 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
73,4768,03/24/2017 09:09:13.547856 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
74,4927,02/23/2017 11:14:32.156121 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
75,5088,01/13/2017 08:45:46.357746 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
76,5122,01/12/2017 10:25:22.253915 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
77,5125,01/12/2017 08:55:09.908567 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
78,5201,01/11/2017 07:19:19.108376 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
79,5214,01/10/2017 08:15:54.689064 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
80,5222,01/10/2017 12:04:17.668983 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
81,5577,05/17/2017 09:44:39.640999 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
82,5581,05/07/2017 16:51:34.85112 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
83,5582,05/06/2017 11:03:42.719347 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
84,5715,04/03/2017 13:11:38.286786 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
85,5822,02/26/2017 12:22:22.809608 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
86,5892,02/04/2017 15:12:54.40793 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
87,5976,01/11/2017 07:18:06.048147 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
88,6054,12/22/2017 09:28:51.580863 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
89,6124,04/10/2017 07:42:13.425502 MDT,ALTAMONT,12009,ALBANY,Albany,DT-11630,D,DT,42.698692,-74.03148
90,6189,03/29/2017 09:16:15.312326 MDT,ALTAMONT,12009,ALBANY,Albany,DT-11695,D,DT,42.698692,-74.03148
91,6311,03/06/2017 14:40:38.049318 MST,ALTAMONT,12009,ALBANY,Albany,DT-11819,D,DT,42.698692,-74.03148
92,6313,03/06/2017 14:03:38.175681 MST,ALTAMONT,12009,ALBANY,Albany,DT-11821,D,DT,42.698692,-74.03148
93,6372,03/17/2017 08:03:29.886805 MDT,ALTAMONT,12009,ALBANY,Albany,DT-11880,D,DT,42.698692,-74.03148
94,6416,02/28/2017 13:39:26.079403 MST,ALTAMONT,12009,ALBANY,Albany,DT-11925,D,DT,42.698692,-74.03148
95,6501,01/23/2017 08:50:00.620216 MST,ALTAMONT,12009,ALBANY,Albany,DT-12012,D,DT,42.698692,-74.03148
96,6570,01/26/2017 09:08:30.297743 MST,ALTAMONT,12009,ALBANY,Albany,DT-12083,D,DT,42.698692,-74.03148
97,6598,01/12/2017 09:03:30.364057 MST,ALTAMONT,12009,ALBANY,Albany,DT-12112,D,DT,42.698692,-74.03148
98,6615,01/13/2017 12:41:16.184844 MST,ALTAMONT,12009,ALBANY,Albany,DT-12131,D,DT,42.698692,-74.03148
99,6616,01/13/2017 12:09:48.405408 MST,ALTAMONT,12009,ALBANY,Albany,DT-12132,D,DT,42.698692,-74.03148
100,6623,01/18/2017 07:06:18.065596 MST,ALTAMONT,12009,ALBANY,Albany,DT-12140,D,DT,42.698692,-74.03148
101,6796,09/01/2017 10:06:35.108807 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
102,6870,09/26/2017 13:41:18.856681 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
103,6967,06/07/2017 07:46:53.754656 MDT,ALTAMONT,12009,ALBANY,Albany,TJ-3200.2500,T,TJ,42.698692,-74.03148
104,7150,04/10/2017 08:22:25.965807 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
105,7282,03/17/2017 12:54:04.376541 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
106,7283,03/17/2017 12:06:32.305668 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
107,7310,03/17/2017 16:15:31.983531 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
108,7437,01/13/2017 07:23:10.955567 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
109,7451,01/27/2017 14:12:31.386759 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
110,7500,01/03/2017 09:49:07.227541 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
111,7534,01/09/2017 11:42:56.682868 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
112,7559,01/11/2017 08:51:23.495655 MST,ALTAMONT,12009,ALBANY,Not Applicable,,,,42.698692,-74.03148
113,7568,03/06/2017 07:59:25.219695 MST,ALTAMONT,12009,ALBANY,Not Applicable,,,,42.698692,-74.03148
114,8012,02/08/2017 10:21:48.023686 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
115,8073,04/14/2017 12:46:16.328465 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10700,D,DT,42.698692,-74.03148
116,8088,04/12/2017 07:53:30.262076 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10717,D,DT,42.698692,-74.03148
