,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
11888,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RM-6500.1500,R,RM,43.0675747,-73.7784538
11889,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YF-5000.1700-100,Y,YF,43.0675747,-73.7784538
11890,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YF-5000.1700-100,Y,YF,43.0675747,-73.7784538
11891,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YF-5000.1700-100,Y,YF,43.0675747,-73.7784538
11892,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YF-5000.1700-100,Y,YF,43.0675747,-73.7784538
11893,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RP-1400.2500,R,RP,43.0675747,-73.7784538
11894,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RP-1400.2500,R,RP,43.0675747,-73.7784538
11895,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RP-1400.2500,R,RP,43.0675747,-73.7784538
11896,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RP-1400.2500,R,RP,43.0675747,-73.7784538
11897,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YB-9500.1500,Y,YB,43.0675747,-73.7784538
11898,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YB-9500.1500,Y,YB,43.0675747,-73.7784538
11899,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YB-9500.1500,Y,YB,43.0675747,-73.7784538
11900,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,YB-9500.1500,Y,YB,43.0675747,-73.7784538
11901,01/11/2016 10:24:55.671139 MST,BURNT HILLS,12027,SARATOGA,Schenectady,DF-7000.1200,D,DF,43.0675747,-73.7784538
11902,01/11/2016 10:24:55.671139 MST,BURNT HILLS,12027,SARATOGA,Schenectady,DF-7000.1200,D,DF,43.0675747,-73.7784538
11903,01/11/2016 10:24:55.671139 MST,BURNT HILLS,12027,SARATOGA,Schenectady,DF-7000.8250,D,DF,43.0675747,-73.7784538
11904,01/11/2016 10:24:55.671139 MST,BURNT HILLS,12027,SARATOGA,Schenectady,DF-7000.8250,D,DF,43.0675747,-73.7784538
11905,01/29/2016 09:17:16.778441 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-10245,D,DT,43.0675747,-73.7784538
11906,01/27/2016 12:41:20.457827 MST,BALLSTON SPA,12020,SARATOGA,Saratoga,DT-10246,D,DT,43.0675747,-73.7784538
11907,02/02/2016 15:18:50.457126 MST,MECHANICVILLE,12118,SARATOGA,Saratoga,DT-10447,D,DT,43.0675747,-73.7784538
11908,02/02/2016 15:42:43.500951 MST,SOUTH GLENS FALLS,12803,SARATOGA,Saratoga,DT-10448,D,DT,43.0675747,-73.7784538
11909,02/03/2016 09:47:25.388909 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-10449,D,DT,43.0675747,-73.7784538
11910,02/01/2016 10:00:27.892276 MST,BALLSTON SPA,12020,SARATOGA,Saratoga,DT-10450,D,DT,43.0675747,-73.7784538
11911,02/03/2016 13:25:16.686985 MST,GANSEVOORT,12831,SARATOGA,Saratoga,DT-10451,D,DT,43.0675747,-73.7784538
11912,02/15/2016 10:15:23.290942 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-10452,D,DT,43.0675747,-73.7784538
11913,02/15/2016 13:03:58.327407 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-10453,D,DT,43.0675747,-73.7784538
11914,02/09/2016 10:03:41.163904 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-10454,D,DT,43.0675747,-73.7784538
11915,02/15/2016 15:27:36.448215 MST,BALLSTON LAKE,12019,SARATOGA,Saratoga,DT-10455,D,DT,43.0675747,-73.7784538
11916,03/03/2016 12:01:42.57435 MST,WATERFORD,12188,SARATOGA,Saratoga,DT-10456,D,DT,43.0675747,-73.7784538
11917,01/22/2016 14:11:36.819243 MST,BALLSTON LAKE,12019,SARATOGA,Saratoga,DT-9222,D,DT,43.0675747,-73.7784538
11918,01/25/2016 15:30:43.352519 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9223,D,DT,43.0675747,-73.7784538
11919,01/26/2016 07:46:13.874821 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9224,D,DT,43.0675747,-73.7784538
11920,02/18/2016 08:53:31.466298 MST,REXFORD,12148,SARATOGA,Saratoga,DT-9229,D,DT,43.0675747,-73.7784538
11921,01/18/2016 10:51:55.39422 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9231,D,DT,43.0675747,-73.7784538
11922,01/19/2016 08:07:37.634239 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9232,D,DT,43.0675747,-73.7784538
11923,01/19/2016 08:18:50.174047 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9233,D,DT,43.0675747,-73.7784538
